country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,,,dpt3,ADM1,Kasai Oriental,kasai oriental,51.687298,4.621988,42.628368,60.746229,148,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kinshasa,kinshasa,83.740101,3.447827,76.982486,90.497717,200,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Kinshasa,kinshasa,82.481503,3.827314,74.980105,89.982902,116,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kongo Central,kongo central,84.053914,4.627246,74.984678,93.123149,182,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Kongo Central,kongo central,37.562662,8.472382,20.957098,54.168226,99,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kwango,kwango,67.525799,5.222754,57.28939,77.762208,147,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Kwango,kwango,45.217318,7.097894,31.305701,59.128935,150,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kwilu,kwilu,62.331851,6.442292,49.70519,74.958512,177,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Kwilu,kwilu,40.762585,7.519528,26.024581,55.500588,178,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Lomami,lomami,52.541031,6.871629,39.072885,66.009176,145,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Lomami,lomami,36.767275,6.124602,24.763276,48.771275,166,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Lualaba,lualaba,43.383353,6.8823550000000004,29.894184,56.872522,84,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Lualaba,lualaba,50.901165,7.406971,36.383769,65.418562,215,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Mai-Ndombe,mai ndombe,54.932955,7.380729,40.466992,69.398919,136,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Mai-Ndombe,mai ndombe,23.442527,7.043136,9.638234,37.246819,97,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Maniema,maniema,47.163199,12.378938,22.900926,71.425473,159,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Maniema,maniema,10.808121,3.037454,4.854822,16.761421,208,2,2023–24 DHS
